CODAGENTE,NOMEDOGRUPO,CODGRUPO,VOLUME,FATURAMENTO,CODEMPRESA
579,COMBUSTIVEIS LIQUIDOS,1,116.1092,676.5,2
579,LUBRIFICANTES,4,1.0,26.99,2
616,COMBUSTIVEIS LIQUIDOS,1,264.531,1499.35,2
616,PALHETA AUTOMOTIVA,29,2.0,59.5,2
624,COMBUSTIVEIS LIQUIDOS,1,281.1307,1600.75,2
624,COMBUSTIVEIS -  GNV,25,13.7301,63.57,2
634,COMBUSTIVEIS LIQUIDOS,1,468.9973,2739.15,2
634,LUBRIFICANTES,4,1.0,34.0,2
634,PALHETA AUTOMOTIVA,29,1.0,34.0,2
679,COMBUSTIVEIS LIQUIDOS,1,331.5239,1837.09,2
1240,COMBUSTIVEIS LIQUIDOS,1,8.6494,50.08,2
1240,FILTROS DE COMBUSTIVEIS,7,1.0,27.0,2
6151,COMBUSTIVEIS LIQUIDOS,1,430.553,2516.5,2
6151,LUBRIFICANTES,4,1.0,107.0,2
6151,FILTROS DE OLEO E AR,6,1.0,31.0,2
6151,FILTROS DE COMBUSTIVEIS,7,1.0,27.0,2
12008,COMBUSTIVEIS LIQUIDOS,1,296.1739,1722.84,2
13165,COMBUSTIVEIS LIQUIDOS,1,473.2679,2714.88,2
13165,ADITIVOS E FLUIDOS,5,3.0,352.88,2
14503,COMBUSTIVEIS LIQUIDOS,1,78.0951,455.14,2
19799,COMBUSTIVEIS LIQUIDOS,1,364.0632,2052.9,2
19799,PALHETA AUTOMOTIVA,29,1.0,29.0,2
28423,COMBUSTIVEIS LIQUIDOS,1,90.4358,516.65,2
28423,COMBUSTIVEIS -  GNV,25,302.3593,1399.9,2
28929,COMBUSTIVEIS -  GNV,25,230.3998,1066.74,2
28934,COMBUSTIVEIS LIQUIDOS,1,1385.889,7742.7,2
28934,AGENTE REDUTOR,2,17.539,48.93,2
28934,LUBRIFICANTES,4,3.0,246.97,2
28934,PECAS E ACESSORIOS VEICULO ,10,1.0,29.99,2
28934,COMBUSTIVEIS -  GNV,25,32.6805,151.31,2
34195,CONVENIENCIA,3,1.0,2.0,2
34195,HIGIENE PESSOAL,20,5.0,74.87,2
34195,SORVETES,26,1.0,8.0,2
725,COMBUSTIVEIS LIQUIDOS,1,910.41,5306.57,4
728,COMBUSTIVEIS LIQUIDOS,1,350.113,2094.56,4
728,AGENTE REDUTOR,2,32.5222,97.24,4
981,COMBUSTIVEIS LIQUIDOS,1,25.472,150.03,4
1033,COMBUSTIVEIS LIQUIDOS,1,130.439,749.62,4
1033,ADITIVOS E FLUIDOS,5,1.0,48.5,4
1036,COMBUSTIVEIS LIQUIDOS,1,747.2051,4338.15,4
1036,AGENTE REDUTOR,2,17.074,51.05,4
1036,LUBRIFICANTES,4,1.0,22.99,4
1053,CONVENIENCIA,3,1.0,19.99,4
1602,COMBUSTIVEIS LIQUIDOS,1,79.702,479.2,4
17131,COMBUSTIVEIS LIQUIDOS,1,60.9738,360.16,4
17131,PECAS E ACESSORIOS VEICULO ,10,1.0,38.0,4
3298,COMBUSTIVEIS LIQUIDOS,1,11.6551,50.0,5
3612,COMBUSTIVEIS LIQUIDOS,1,30.9551,145.02,5
3622,COMBUSTIVEIS LIQUIDOS,1,217.6729,1185.24,5
3622,PALHETA AUTOMOTIVA,29,1.0,28.99,5
3631,COMBUSTIVEIS LIQUIDOS,1,727.334,4074.81,5
3631,AGENTE REDUTOR,2,6.8094,20.36,5
3632,COMBUSTIVEIS LIQUIDOS,1,35.7643,192.0,5
16492,COMBUSTIVEIS LIQUIDOS,1,116.8377,621.5,5
22762,COMBUSTIVEIS LIQUIDOS,1,261.4594,1667.47,5
3316,COMBUSTIVEIS LIQUIDOS,1,928.2521,5186.25,6
3316,LUBRIFICANTES,4,2.0,59.99,6
3318,COMBUSTIVEIS LIQUIDOS,1,171.5858,953.97,6
3743,COMBUSTIVEIS LIQUIDOS,1,11.6551,50.0,6
3754,COMBUSTIVEIS LIQUIDOS,1,301.2302,1720.33,6
3771,COMBUSTIVEIS LIQUIDOS,1,77.1043,494.2,6
8989,COMBUSTIVEIS LIQUIDOS,1,133.3307,707.52,6
27138,COMBUSTIVEIS LIQUIDOS,1,406.0921,2332.04,6
4072,COMBUSTIVEIS LIQUIDOS,1,33.3712,199.89,7
4074,COMBUSTIVEIS LIQUIDOS,1,62.1436,372.23,7
4090,COMBUSTIVEIS LIQUIDOS,1,220.9044,1262.82,7
20657,COMBUSTIVEIS LIQUIDOS,1,205.1394,1139.2,7
20657,ADITIVOS E FLUIDOS,5,1.0,35.0,7
20657,LIMPEZA E CONSERVACAO,21,1.0,9.99,7
24054,COMBUSTIVEIS LIQUIDOS,1,283.5115,1624.2,7
24054,LUBRIFICANTES,4,3.0,89.97,7
589,COMBUSTIVEIS LIQUIDOS,1,8.636,50.0,8
680,COMBUSTIVEIS LIQUIDOS,1,188.6129,1046.5,8
690,COMBUSTIVEIS LIQUIDOS,1,260.2863,1421.28,8
690,LUBRIFICANTES,4,2.0,77.98,8
710,COMBUSTIVEIS LIQUIDOS,1,28.272,163.69,8
714,COMBUSTIVEIS LIQUIDOS,1,256.202,1366.58,8
720,COMBUSTIVEIS LIQUIDOS,1,57.4629,300.02,8
7180,COMBUSTIVEIS LIQUIDOS,1,962.8819,5386.67,8
7180,LUBRIFICANTES,4,1.0,34.99,8
12542,COMBUSTIVEIS LIQUIDOS,1,104.13,565.56,8
12542,LUBRIFICANTES,4,1.0,24.99,8
25479,COMBUSTIVEIS LIQUIDOS,1,1037.4203,5780.57,8
25479,AGENTE REDUTOR,2,43.93,218.26,8
29110,COMBUSTIVEIS LIQUIDOS,1,731.2572,4310.69,8
29110,AGENTE REDUTOR,2,1.0,89.9,8
29110,LUBRIFICANTES,4,1.0,38.99,8
29110,LIMPEZA E CONSERVACAO,21,1.0,21.5,8
3310,COMBUSTIVEIS -  GNV,25,19.5595,92.32,11
3542,COMBUSTIVEIS -  GNV,25,112.9636,533.18,11
3729,COMBUSTIVEIS -  GNV,25,46.2515,218.3,11
3731,COMBUSTIVEIS -  GNV,25,47.0503,222.07,11
11291,COMBUSTIVEIS -  GNV,25,5.9301,27.99,11
34640,COMBUSTIVEIS -  GNV,25,23.3691,110.3,11
3298,COMBUSTIVEIS -  GNV,25,93.3405,437.76,12
3619,COMBUSTIVEIS -  GNV,25,60.1358,282.03,12
3622,COMBUSTIVEIS -  GNV,25,182.7574,857.11,12
3631,COMBUSTIVEIS -  GNV,25,15.7487,73.86,12
3116,COMBUSTIVEIS LIQUIDOS,1,10.187,60.0,16
3133,COMBUSTIVEIS LIQUIDOS,1,31.5304,192.02,16
10489,COMBUSTIVEIS LIQUIDOS,1,42.4803,256.12,16
10489,LUBRIFICANTES,4,1.0,24.99,16
17,COMBUSTIVEIS LIQUIDOS,1,137.0026,801.16,17
3037,COMBUSTIVEIS LIQUIDOS,1,292.5349,1583.19,17
3047,COMBUSTIVEIS LIQUIDOS,1,148.2588,849.08,17
3049,COMBUSTIVEIS LIQUIDOS,1,47.8119,260.95,17
3059,COMBUSTIVEIS LIQUIDOS,1,350.5202,2029.51,17
3059,ADITIVOS E FLUIDOS,5,1.0,47.99,17
3062,COMBUSTIVEIS LIQUIDOS,1,370.1069,2053.86,17
3071,PECAS E ACESSORIOS VEICULO ,10,1.0,38.0,17
3162,COMBUSTIVEIS LIQUIDOS,1,268.3632,1561.48,17
3293,COMBUSTIVEIS LIQUIDOS,1,147.3353,911.34,17
9087,COMBUSTIVEIS LIQUIDOS,1,102.3835,598.26,17
9122,COMBUSTIVEIS LIQUIDOS,1,76.5213,456.55,17
27045,COMBUSTIVEIS LIQUIDOS,1,269.3392,1554.85,17
3021,COMBUSTIVEIS LIQUIDOS,1,698.7103,4043.04,19
3021,LUBRIFICANTES,4,4.0,116.96,19
3021,ADITIVOS E FLUIDOS,5,13.0,466.93,19
3021,DIVERSOS GERAIS - VEICULOS,8,2.0,15.98,19
12010,COMBUSTIVEIS LIQUIDOS,1,2.3905,14.08,19
13207,COMBUSTIVEIS LIQUIDOS,1,222.5595,1221.32,19
13207,LIMPEZA E CONSERVACAO,21,2.0,55.99,19
628,COMBUSTIVEIS LIQUIDOS,1,123.3243,701.4,20
807,COMBUSTIVEIS LIQUIDOS,1,1657.6124,9338.38,20
807,AGENTE REDUTOR,2,58.124,434.79,20
807,LUBRIFICANTES,4,5.0,292.48,20
807,FILTROS DE OLEO E AR,6,1.0,16.0,20
807,DIVERSOS GERAIS - VEICULOS,8,1.0,27.99,20
807,LIMPEZA E CONSERVACAO,21,2.0,57.98,20
820,COMBUSTIVEIS LIQUIDOS,1,736.0654,4105.96,20
820,COMBUSTIVEIS -  GNV,25,93.5912,433.32,20
839,COMBUSTIVEIS LIQUIDOS,1,216.5721,1221.85,20
839,FILTROS DE OLEO E AR,6,2.0,301.99,20
839,FILTROS DE COMBUSTIVEIS,7,4.0,424.98,20
839,DIVERSOS GERAIS - VEICULOS,8,1.0,18.99,20
15204,COMBUSTIVEIS LIQUIDOS,1,305.8807,1739.7,20
17505,COMBUSTIVEIS LIQUIDOS,1,606.2706,3521.47,20
17505,LUBRIFICANTES,4,2.0,65.98,20
17505,COMBUSTIVEIS -  GNV,25,57.4282,265.89,20
20407,COMBUSTIVEIS LIQUIDOS,1,67.2016,389.09,20
20407,LIMPEZA E CONSERVACAO,21,1.0,18.41,20
20407,COMBUSTIVEIS -  GNV,25,13.4711,62.37,20
20944,COMBUSTIVEIS LIQUIDOS,1,130.0474,741.91,20
20944,ADITIVOS E FLUIDOS,5,1.0,36.0,20
20944,COMBUSTIVEIS -  GNV,25,32.4299,150.15,20
21575,COMBUSTIVEIS LIQUIDOS,1,92.4678,524.32,20
21575,LIMPEZA E CONSERVACAO,21,1.0,9.99,20
21575,COMBUSTIVEIS -  GNV,25,40.5986,187.97,20
30310,COMBUSTIVEIS LIQUIDOS,1,676.162,3815.22,20
30310,AGENTE REDUTOR,2,20.1004,60.1,20
31166,COMBUSTIVEIS LIQUIDOS,1,1088.231,6061.44,20
31166,AGENTE REDUTOR,2,31.415,93.93,20
31166,LUBRIFICANTES,4,5.0,129.95,20
836,COMBUSTIVEIS LIQUIDOS,1,207.0014,1163.9,21
29953,COMBUSTIVEIS LIQUIDOS,1,48.1728,218.05,21
29956,COMBUSTIVEIS LIQUIDOS,1,669.4952,3811.1,21
29956,LUBRIFICANTES,4,2.0,70.99,21
29956,LIMPEZA E CONSERVACAO,21,1.0,19.99,21
33931,COMBUSTIVEIS LIQUIDOS,1,484.5324,2723.64,21
33932,COMBUSTIVEIS LIQUIDOS,1,1067.218,6044.94,21
33933,COMBUSTIVEIS LIQUIDOS,1,1741.5814,9829.67,21
33933,AGENTE REDUTOR,2,50.0302,149.59,21
33933,LUBRIFICANTES,4,3.0,95.03,21
33933,AGUAS MINERAIS E GELO,18,3.0,14.97,21
33866,COMBUSTIVEIS LIQUIDOS,1,34.2714,164.07,24
33934,COMBUSTIVEIS LIQUIDOS,1,62.4352,363.01,24
33934,ADITIVOS E FLUIDOS,5,1.0,12.0,24
1616,COMBUSTIVEIS LIQUIDOS,1,10.0,58.9,27
23309,COMBUSTIVEIS LIQUIDOS,1,58.391,340.97,27
26472,COMBUSTIVEIS LIQUIDOS,1,749.6177,4353.14,27
26472,COMBUSTIVEIS -  GNV,25,25.5866,120.0,27
26472,PALHETA AUTOMOTIVA,29,2.0,62.99,27
29515,COMBUSTIVEIS LIQUIDOS,1,115.5991,624.26,27
29515,COMBUSTIVEIS -  GNV,25,12.8001,60.03,27
30458,COMBUSTIVEIS LIQUIDOS,1,118.7794,680.02,27
3310,COMBUSTIVEIS LIQUIDOS,1,5.111,30.0,30
3538,COMBUSTIVEIS LIQUIDOS,1,63.3306,372.07,30
11291,COMBUSTIVEIS LIQUIDOS,1,125.2415,745.84,30
12777,COMBUSTIVEIS LIQUIDOS,1,54.4039,320.0,30
34640,COMBUSTIVEIS LIQUIDOS,1,64.7929,378.5,30
